state,model,mae,rmse,mape,smape
Alabama,SARIMA,6469867.114832081,6758063.855174865,3.1611525335008674,3.21663785624881
Alabama,Prophet,6598318.090247516,7231310.230777607,3.2232441969593157,3.281938897955914
Alabama,XGBoost,4370852.831250012,5040912.755181753,2.135256437953996,2.1660911867896244
Alabama,LSTM,1344899.008827377,1522128.004009977,0.6580722911073209,0.6595285029345357
Arizona,SARIMA,4054407.318282958,4708197.3337738365,1.7992011700214527,1.8213277384392121
Arizona,Prophet,2916574.943591982,3495428.9226006907,1.2960222890443767,1.3072647055400228
Arizona,XGBoost,14203865.095833328,14649892.193817858,6.313428556144013,6.533159231313217
Arizona,LSTM,2606031.22007766,2953588.717774899,1.1572861048790617,1.1583658667901495
Arkansas,SARIMA,1468663.2984424438,1701161.035399628,1.326508045440859,1.338172944757521
Arkansas,Prophet,2273603.8099636305,2764356.4616207397,2.056735912929505,2.0882530560461303
Arkansas,XGBoost,5323147.281249994,5470451.196562804,4.816619383628952,4.942552896241431
Arkansas,LSTM,1404699.658710098,1596709.6020328074,1.2696651473236373,1.2709924793732168
California,SARIMA,33238908.553183272,34252940.12084313,3.7874700056611394,3.8652008072085455
California,Prophet,37235678.62142798,41942347.22949605,4.235361578362441,4.352310731280004
California,XGBoost,46170714.454166636,48809604.45691635,5.257833211739953,5.417053748666271
California,LSTM,8391677.258524537,10183749.973938879,0.9592838491922461,0.9642822954065495
Colorado,SARIMA,3382216.447461225,3463936.8299470055,1.9095859948621299,1.928909483856835
Colorado,Prophet,6567623.516535342,6922606.873277203,3.7071532751858682,3.7851531218348526
Colorado,XGBoost,6624819.316666689,6919578.285022159,3.7394391499643964,3.8173453738809155
Colorado,LSTM,1987214.5485252552,2339015.7319393046,1.121181159315431,1.1132864772619482
Connecticut,SARIMA,498562.8381007798,720089.5810686072,0.559469611442763,0.5564181107785153
Connecticut,Prophet,1886921.2678105216,2371883.371165041,2.103969646552525,2.1343344111463156
Connecticut,XGBoost,1214802.7770833317,1354996.003448766,1.3522245762929042,1.3636836296479418
Connecticut,LSTM,630733.7137226667,719425.0244169751,0.7053891075792249,0.7032409348194246
Florida,SARIMA,21919070.196474433,22698094.503566496,2.8753807622707748,2.9203396635480985
Florida,Prophet,20677673.413392514,23281559.380075168,2.7093129988783295,2.7523428015805056
Florida,XGBoost,33869817.76875,39415696.63524832,4.433491445018236,4.570728384574623
Florida,LSTM,3218884.754118398,3839847.8802905614,0.4242068727743341,0.42516651033888914
